YearStart,Topic,TotalRecords,StateCount,QualityStatus
2015,Cancer,6981,53,MISSING_STATES
2016,Cancer,6951,53,MISSING_STATES
2019,Asthma,1420,55,VALID
2019,Cardiovascular Disease,8932,55,VALID
2019,Diabetes,3238,55,VALID
2020,Asthma,1481,55,VALID
2020,Cancer,1515,55,VALID
2020,Cardiovascular Disease,5286,52,MISSING_STATES
2020,Diabetes,3415,55,VALID
2021,Asthma,1444,55,VALID
2021,Cardiovascular Disease,9175,55,VALID
2021,Diabetes,3457,55,VALID
2022,Asthma,886,55,LOW_RECORDS
2022,Cancer,1052,55,VALID
2022,Diabetes,933,55,LOW_RECORDS
