LocationDesc,LocationID,LocationAbbr,Topic,AvgPrevalance
Texas,48,TX,Cancer,2979.4
New Hampshire,33,NH,Cancer,431.13
New Hampshire,33,NH,Asthma,13.3
New Hampshire,33,NH,Cardiovascular Disease,338.58
Texas,48,TX,Cardiovascular Disease,2931.87
Texas,48,TX,Diabetes,1566.57
New Hampshire,33,NH,Diabetes,161.49
Texas,48,TX,Asthma,26.73
West Virginia,54,WV,Cancer,556.04
Arizona,4,AZ,Cancer,912.98
South Carolina,45,SC,Cancer,894.12
Arizona,4,AZ,Asthma,15.05
Michigan,26,MI,Cardiovascular Disease,1652.09
South Carolina,45,SC,Diabetes,440.58
West Virginia,54,WV,Asthma,14.83
West Virginia,54,WV,Cardiovascular Disease,543.92
West Virginia,54,WV,Diabetes,281.1
Arizona,4,AZ,Diabetes,405.38
South Carolina,45,SC,Cardiovascular Disease,847.77
Michigan,26,MI,Asthma,17.14
Michigan,26,MI,Cancer,1566.59
Arizona,4,AZ,Cardiovascular Disease,812.38
Michigan,26,MI,Diabetes,568.21
South Carolina,45,SC,Asthma,12.37
Nevada,32,NV,Cardiovascular Disease,443.77
Nevada,32,NV,Diabetes,196.24
Nevada,32,NV,Cancer,324.94
Nevada,32,NV,Asthma,10.36
Ohio,39,OH,Asthma,19.2
Ohio,39,OH,Cardiovascular Disease,2081.58
Ohio,39,OH,Cancer,1945.28
Ohio,39,OH,Diabetes,851.78
Tennessee,47,TN,Asthma,14.44
Tennessee,47,TN,Diabetes,538.01
Tennessee,47,TN,Cardiovascular Disease,1253.72
Tennessee,47,TN,Cancer,1212.41
Wisconsin,55,WI,Cancer,829.88
Wisconsin,55,WI,Cardiovascular Disease,849.74
Wisconsin,55,WI,Diabetes,438.86
Wisconsin,55,WI,Asthma,16.02
Louisiana,22,LA,Cancer,821.09
Louisiana,22,LA,Diabetes,325.02
Louisiana,22,LA,Cardiovascular Disease,841.1
Louisiana,22,LA,Asthma,10.13
Idaho,16,ID,Diabetes,202.56
Iowa,19,IA,Cancer,624.31
