YearStart,Topic,NationalAvgPrevalence,TotalRecords,PrevYearPrevalence,YoY_Change,YoY_ChangePercent
2019,Asthma,25.14,1420,,,
2020,Asthma,27.68,1481,25.14,2.54,10.1
2021,Asthma,25.2,1444,27.68,-2.48,-8.96
2022,Asthma,11.27,886,25.2,-13.93,-55.28
2015,Cancer,2202.72,6981,,,
2016,Cancer,2174.48,6951,2202.72,-28.24,-1.28
2020,Cancer,71.45,1515,2174.48,-2103.03,-96.71
2022,Cancer,60.24,1052,71.45,-11.21,-15.69
2019,Cardiovascular Disease,1638.53,8932,,,
2020,Cardiovascular Disease,2685.48,5286,1638.53,1046.95,63.9
2021,Cardiovascular Disease,1601.74,9175,2685.48,-1083.74,-40.36
2019,Diabetes,742.37,3238,,,
2020,Diabetes,968.15,3415,742.37,225.78,30.41
2021,Diabetes,986.17,3457,968.15,18.02,1.86
2022,Diabetes,12.88,933,986.17,-973.29,-98.69
