YearStart,Topic,LocationAbbr,YearlyAvgPrevalence,RecordCount,PrevYearPrevalence,YoY_Change,YoY_ChangePercent,QualityStatus
2019,Asthma,AK,10.99,14,,,,VALID
2020,Asthma,AK,10.55,14,10.99,-0.44,-4.0,VALID
2021,Asthma,AK,11.18,16,10.55,0.63,5.97,VALID
2022,Asthma,AK,11.07,18,11.18,-0.11,-0.98,LOW_RECORDS
2015,Cancer,AK,183.82,123,,,,MISSING_STATES
2016,Cancer,AK,184.31,123,183.82,0.49,0.27,MISSING_STATES
2020,Cancer,AK,70.32,26,184.31,-113.99,-61.85,VALID
2022,Cancer,AK,56.2,22,70.32,-14.12,-20.08,VALID
2019,Cardiovascular Disease,AK,96.11,151,,,,VALID
2020,Cardiovascular Disease,AK,145.82,89,96.11,49.71,51.72,MISSING_STATES
2021,Cardiovascular Disease,AK,103.32,175,145.82,-42.5,-29.15,VALID
2019,Diabetes,AK,55.73,39,,,,VALID
2020,Diabetes,AK,75.73,53,55.73,20.0,35.89,VALID
2021,Diabetes,AK,89.14,48,75.73,13.41,17.71,VALID
2022,Diabetes,AK,10.1,21,89.14,-79.04,-88.67,LOW_RECORDS
2019,Asthma,AL,11.5,31,,,,VALID
2020,Asthma,AL,12.6,33,11.5,1.1,9.57,VALID
2021,Asthma,AL,13.33,30,12.6,0.73,5.79,VALID
2022,Asthma,AL,11.14,14,13.33,-2.19,-16.43,LOW_RECORDS
2015,Cancer,AL,1047.26,132,,,,MISSING_STATES
2016,Cancer,AL,1038.13,132,1047.26,-9.13,-0.87,MISSING_STATES
2020,Cancer,AL,76.38,22,1038.13,-961.75,-92.64,VALID
2022,Cancer,AL,65.23,16,76.38,-11.15,-14.6,VALID
2019,Cardiovascular Disease,AL,834.47,165,,,,VALID
2020,Cardiovascular Disease,AL,1364.06,99,834.47,529.59,63.46,MISSING_STATES
2021,Cardiovascular Disease,AL,881.72,161,1364.06,-482.34,-35.36,VALID
2019,Diabetes,AL,239.22,62,,,,VALID
2020,Diabetes,AL,319.61,66,239.22,80.39,33.61,VALID
2021,Diabetes,AL,349.8,68,319.61,30.19,9.45,VALID
2022,Diabetes,AL,15.74,13,349.8,-334.06,-95.5,LOW_RECORDS
2019,Asthma,AR,10.24,18,,,,VALID
2020,Asthma,AR,10.17,23,10.24,-0.07,-0.68,VALID
2021,Asthma,AR,10.68,19,10.17,0.51,5.01,VALID
2022,Asthma,AR,11.31,17,10.68,0.63,5.9,LOW_RECORDS
2015,Cancer,AR,729.12,129,,,,MISSING_STATES
2016,Cancer,AR,716.04,129,729.12,-13.08,-1.79,MISSING_STATES
2020,Cancer,AR,71.0,24,716.04,-645.04,-90.08,VALID
2022,Cancer,AR,54.47,20,71.0,-16.53,-23.28,VALID
2019,Cardiovascular Disease,AR,568.11,174,,,,VALID
2020,Cardiovascular Disease,AR,912.5,99,568.11,344.39,60.62,MISSING_STATES
2021,Cardiovascular Disease,AR,564.33,169,912.5,-348.17,-38.16,VALID
2019,Diabetes,AR,247.48,60,,,,VALID
2020,Diabetes,AR,291.85,69,247.48,44.37,17.93,VALID
2021,Diabetes,AR,306.77,69,291.85,14.92,5.11,VALID
2022,Diabetes,AR,15.84,19,306.77,-290.93,-94.84,LOW_RECORDS
2019,Asthma,AZ,15.18,36,,,,VALID
2020,Asthma,AZ,17.65,39,15.18,2.47,16.27,VALID
2021,Asthma,AZ,14.69,37,17.65,-2.96,-16.77,VALID
2022,Asthma,AZ,10.2,19,14.69,-4.49,-30.57,LOW_RECORDS
2015,Cancer,AZ,1082.16,150,,,,MISSING_STATES
2016,Cancer,AZ,1083.47,150,1082.16,1.31,0.12,MISSING_STATES
2020,Cancer,AZ,67.48,38,1083.47,-1015.99,-93.77,VALID
2022,Cancer,AZ,57.5,22,67.48,-9.98,-14.79,VALID
2019,Cardiovascular Disease,AZ,696.42,200,,,,VALID
2020,Cardiovascular Disease,AZ,1129.14,126,696.42,432.72,62.13,MISSING_STATES
2021,Cardiovascular Disease,AZ,731.99,208,1129.14,-397.15,-35.17,VALID
2019,Diabetes,AZ,346.03,71,,,,VALID
2020,Diabetes,AZ,441.98,82,346.03,95.95,27.73,VALID
2021,Diabetes,AZ,511.26,78,441.98,69.28,15.67,VALID
2022,Diabetes,AZ,13.93,18,511.26,-497.33,-97.28,LOW_RECORDS
2019,Asthma,CA,37.38,45,,,,VALID
2020,Asthma,CA,44.17,45,37.38,6.79,18.16,VALID
2021,Asthma,CA,35.72,45,44.17,-8.45,-19.13,VALID
2022,Asthma,CA,9.46,21,35.72,-26.26,-73.52,LOW_RECORDS
2015,Cancer,CA,4894.49,159,,,,MISSING_STATES
2016,Cancer,CA,4848.9,159,4894.49,-45.59,-0.93,MISSING_STATES
2020,Cancer,CA,67.98,30,4848.9,-4780.92,-98.6,VALID
2022,Cancer,CA,54.52,24,67.98,-13.46,-19.8,VALID
2019,Cardiovascular Disease,CA,3135.83,214,,,,VALID
2020,Cardiovascular Disease,CA,5027.01,132,3135.83,1891.18,60.31,MISSING_STATES
2021,Cardiovascular Disease,CA,3250.62,208,5027.01,-1776.39,-35.34,VALID
2019,Diabetes,CA,1665.55,82,,,,VALID
2020,Diabetes,CA,2349.58,80,1665.55,684.03,41.07,VALID
2021,Diabetes,CA,2452.72,81,2349.58,103.14,4.39,VALID
2022,Diabetes,CA,13.85,23,2452.72,-2438.87,-99.44,LOW_RECORDS
2019,Asthma,CO,12.15,30,,,,VALID
2020,Asthma,CO,12.28,31,12.15,0.13,1.07,VALID
2021,Asthma,CO,12.4,25,12.28,0.12,0.98,VALID
2022,Asthma,CO,11.38,17,12.4,-1.02,-8.23,LOW_RECORDS
2015,Cancer,CO,788.35,147,,,,MISSING_STATES
2016,Cancer,CO,794.95,147,788.35,6.6,0.84,MISSING_STATES
2020,Cancer,CO,67.28,35,794.95,-727.67,-91.54,VALID
2022,Cancer,CO,58.43,22,67.28,-8.85,-13.15,VALID
2019,Cardiovascular Disease,CO,434.73,193,,,,VALID
2020,Cardiovascular Disease,CO,714.2,111,434.73,279.47,64.29,MISSING_STATES
2021,Cardiovascular Disease,CO,449.61,190,714.2,-264.59,-37.05,VALID
2019,Diabetes,CO,303.9,67,,,,VALID
2020,Diabetes,CO,348.06,76,303.9,44.16,14.53,VALID
2021,Diabetes,CO,383.55,76,348.06,35.49,10.2,VALID
2022,Diabetes,CO,9.48,15,383.55,-374.07,-97.53,LOW_RECORDS
2019,Asthma,CT,11.97,30,,,,VALID
2020,Asthma,CT,11.87,24,11.97,-0.1,-0.84,VALID
2021,Asthma,CT,11.72,21,11.87,-0.15,-1.26,VALID
2022,Asthma,CT,12.67,19,11.72,0.95,8.11,LOW_RECORDS
2015,Cancer,CT,737.11,138,,,,MISSING_STATES
2016,Cancer,CT,728.7,138,737.11,-8.41,-1.14,MISSING_STATES
2020,Cancer,CT,75.97,30,728.7,-652.73,-89.57,VALID
2022,Cancer,CT,63.53,18,75.97,-12.44,-16.37,VALID
2019,Cardiovascular Disease,CT,521.23,172,,,,VALID
2020,Cardiovascular Disease,CT,781.78,102,521.23,260.55,49.99,MISSING_STATES
2021,Cardiovascular Disease,CT,485.13,172,781.78,-296.65,-37.95,VALID
2019,Diabetes,CT,162.03,63,,,,VALID
2020,Diabetes,CT,203.83,69,162.03,41.8,25.8,VALID
2021,Diabetes,CT,151.14,73,203.83,-52.69,-25.85,VALID
2022,Diabetes,CT,11.53,17,151.14,-139.61,-92.37,LOW_RECORDS
2019,Asthma,DC,14.15,16,,,,VALID
2020,Asthma,DC,11.13,14,14.15,-3.02,-21.34,VALID
2021,Asthma,DC,13.38,16,11.13,2.25,20.22,VALID
2022,Asthma,DC,11.19,15,13.38,-2.19,-16.37,LOW_RECORDS
2015,Cancer,DC,188.08,111,,,,MISSING_STATES
2016,Cancer,DC,184.52,111,188.08,-3.56,-1.89,MISSING_STATES
2020,Cancer,DC,76.58,26,184.52,-107.94,-58.5,VALID
2022,Cancer,DC,62.57,16,76.58,-14.01,-18.29,VALID
2019,Cardiovascular Disease,DC,147.7,144,,,,VALID
2020,Cardiovascular Disease,DC,237.03,83,147.7,89.33,60.48,MISSING_STATES
2021,Cardiovascular Disease,DC,145.47,151,237.03,-91.56,-38.63,VALID
2019,Diabetes,DC,94.0,36,,,,VALID
2020,Diabetes,DC,139.79,48,94.0,45.79,48.71,VALID
2021,Diabetes,DC,116.22,50,139.79,-23.57,-16.86,VALID
2022,Diabetes,DC,9.31,13,116.22,-106.91,-91.99,LOW_RECORDS
2019,Asthma,DE,10.94,14,,,,VALID
2020,Asthma,DE,11.79,14,10.94,0.85,7.77,VALID
2021,Asthma,DE,11.12,15,11.79,-0.67,-5.68,VALID
2022,Asthma,DE,10.11,15,11.12,-1.01,-9.08,LOW_RECORDS
2015,Cancer,DE,312.6,120,,,,MISSING_STATES
2016,Cancer,DE,302.32,123,312.6,-10.28,-3.29,MISSING_STATES
2020,Cancer,DE,72.16,26,302.32,-230.16,-76.13,VALID
2022,Cancer,DE,64.44,16,72.16,-7.72,-10.7,VALID
2019,Cardiovascular Disease,DE,207.71,153,,,,VALID
2020,Cardiovascular Disease,DE,350.1,83,207.71,142.39,68.55,MISSING_STATES
2021,Cardiovascular Disease,DE,216.27,155,350.1,-133.83,-38.23,VALID
2019,Diabetes,DE,94.19,41,,,,VALID
2020,Diabetes,DE,145.52,47,94.19,51.33,54.5,VALID
2021,Diabetes,DE,158.07,47,145.52,12.55,8.62,VALID
2022,Diabetes,DE,14.02,16,158.07,-144.05,-91.13,LOW_RECORDS
2019,Asthma,FL,23.46,40,,,,VALID
2020,Asthma,FL,26.57,40,23.46,3.11,13.26,VALID
2021,Asthma,FL,34.35,24,26.57,7.78,29.28,VALID
2022,Asthma,FL,10.62,17,34.35,-23.73,-69.08,LOW_RECORDS
2015,Cancer,FL,4031.37,153,,,,MISSING_STATES
2016,Cancer,FL,3944.19,156,4031.37,-87.18,-2.16,MISSING_STATES
2020,Cancer,FL,73.14,33,3944.19,-3871.05,-98.15,VALID
2022,Cancer,FL,61.89,26,73.14,-11.25,-15.38,VALID
2019,Cardiovascular Disease,FL,2778.72,202,,,,VALID
2020,Cardiovascular Disease,FL,4577.16,120,2778.72,1798.44,64.72,MISSING_STATES
2021,Cardiovascular Disease,FL,4774.11,120,4577.16,196.95,4.3,VALID
2019,Diabetes,FL,923.06,78,,,,VALID
2020,Diabetes,FL,1576.29,68,923.06,653.23,70.77,VALID
2021,Diabetes,FL,1831.42,57,1576.29,255.13,16.19,VALID
2022,Diabetes,FL,12.19,16,1831.42,-1819.23,-99.33,LOW_RECORDS
2019,Asthma,GA,16.47,36,,,,VALID
2020,Asthma,GA,17.6,38,16.47,1.13,6.86,VALID
2021,Asthma,GA,16.28,36,17.6,-1.32,-7.5,VALID
2022,Asthma,GA,9.48,15,16.28,-6.8,-41.77,LOW_RECORDS
2015,Cancer,GA,1686.49,147,,,,MISSING_STATES
2016,Cancer,GA,1734.26,144,1686.49,47.77,2.83,MISSING_STATES
2020,Cancer,GA,68.78,32,1734.26,-1665.48,-96.03,VALID
2022,Cancer,GA,56.43,22,68.78,-12.35,-17.96,VALID
2019,Cardiovascular Disease,GA,1229.77,170,,,,VALID
2020,Cardiovascular Disease,GA,1951.42,105,1229.77,721.65,58.68,MISSING_STATES
2021,Cardiovascular Disease,GA,1214.33,181,1951.42,-737.09,-37.77,VALID
2019,Diabetes,GA,470.04,68,,,,VALID
2020,Diabetes,GA,621.23,69,470.04,151.19,32.17,VALID
2021,Diabetes,GA,696.67,69,621.23,75.44,12.14,VALID
2022,Diabetes,GA,13.07,17,696.67,-683.6,-98.12,LOW_RECORDS
2019,Asthma,GU,6.01,14,,,,VALID
2020,Asthma,GU,5.36,14,6.01,-0.65,-10.82,VALID
2021,Asthma,GU,5.29,13,5.36,-0.07,-1.31,VALID
2022,Asthma,GU,7.35,11,5.29,2.06,38.94,LOW_RECORDS
2020,Cancer,GU,60.84,32,,,,VALID
2022,Cancer,GU,46.67,18,60.84,-14.17,-23.29,VALID
2019,Cardiovascular Disease,GU,40.88,76,,,,VALID
2021,Cardiovascular Disease,GU,42.35,74,40.88,1.47,3.6,VALID
2019,Diabetes,GU,13.25,17,,,,VALID
2020,Diabetes,GU,14.51,15,13.25,1.26,9.51,VALID
2021,Diabetes,GU,13.04,16,14.51,-1.47,-10.13,VALID
2022,Diabetes,GU,23.72,16,13.04,10.68,81.9,LOW_RECORDS
2019,Asthma,HI,10.85,21,,,,VALID
2020,Asthma,HI,10.16,21,10.85,-0.69,-6.36,VALID
2021,Asthma,HI,9.31,21,10.16,-0.85,-8.37,VALID
2022,Asthma,HI,9.74,19,9.31,0.43,4.62,LOW_RECORDS
2015,Cancer,HI,354.19,126,,,,MISSING_STATES
2016,Cancer,HI,344.05,129,354.19,-10.14,-2.86,MISSING_STATES
2020,Cancer,HI,75.95,40,344.05,-268.1,-77.92,VALID
2022,Cancer,HI,64.84,24,75.95,-11.11,-14.63,VALID
2019,Cardiovascular Disease,HI,181.2,187,,,,VALID
2020,Cardiovascular Disease,HI,294.14,104,181.2,112.94,62.33,MISSING_STATES
2021,Cardiovascular Disease,HI,191.11,186,294.14,-103.03,-35.03,VALID
2019,Diabetes,HI,116.52,54,,,,VALID
2020,Diabetes,HI,129.03,55,116.52,12.51,10.74,VALID
2021,Diabetes,HI,136.55,55,129.03,7.52,5.83,VALID
2022,Diabetes,HI,11.39,19,136.55,-125.16,-91.66,LOW_RECORDS
2019,Asthma,IA,11.9,30,,,,VALID
2020,Asthma,IA,11.0,30,11.9,-0.9,-7.56,VALID
2021,Asthma,IA,11.72,25,11.0,0.72,6.55,VALID
2022,Asthma,IA,11.36,17,11.72,-0.36,-3.07,LOW_RECORDS
2015,Cancer,IA,712.79,135,,,,MISSING_STATES
2016,Cancer,IA,709.04,135,712.79,-3.75,-0.53,MISSING_STATES
2020,Cancer,IA,71.28,26,709.04,-637.76,-89.95,VALID
2022,Cancer,IA,61.56,16,71.28,-9.72,-13.64,VALID
2019,Cardiovascular Disease,IA,496.97,165,,,,VALID
2020,Cardiovascular Disease,IA,814.95,94,496.97,317.98,63.98,MISSING_STATES
2021,Cardiovascular Disease,IA,485.61,167,814.95,-329.34,-40.41,VALID
2019,Diabetes,IA,292.01,55,,,,VALID
2020,Diabetes,IA,337.6,64,292.01,45.59,15.61,VALID
2021,Diabetes,IA,348.99,59,337.6,11.39,3.37,VALID
2022,Diabetes,IA,12.84,17,348.99,-336.15,-96.32,LOW_RECORDS
2019,Asthma,ID,11.4,12,,,,VALID
2020,Asthma,ID,9.49,18,11.4,-1.91,-16.75,VALID
2021,Asthma,ID,11.0,13,9.49,1.51,15.91,VALID
2022,Asthma,ID,11.86,15,11.0,0.86,7.82,LOW_RECORDS
2015,Cancer,ID,429.09,114,,,,MISSING_STATES
2016,Cancer,ID,422.22,117,429.09,-6.87,-1.6,MISSING_STATES
2020,Cancer,ID,64.88,21,422.22,-357.34,-84.63,VALID
2022,Cancer,ID,57.37,18,64.88,-7.51,-11.58,VALID
2019,Cardiovascular Disease,ID,256.29,133,,,,VALID
2020,Cardiovascular Disease,ID,400.07,82,256.29,143.78,56.1,MISSING_STATES
2021,Cardiovascular Disease,ID,261.35,142,400.07,-138.72,-34.67,VALID
2019,Diabetes,ID,210.73,40,,,,VALID
2020,Diabetes,ID,213.1,51,210.73,2.37,1.12,VALID
2021,Diabetes,ID,241.38,52,213.1,28.28,13.27,VALID
2022,Diabetes,ID,10.32,15,241.38,-231.06,-95.72,LOW_RECORDS
2019,Asthma,IL,23.38,37,,,,VALID
2020,Asthma,IL,23.95,35,23.38,0.57,2.44,VALID
2021,Asthma,IL,18.38,35,23.95,-5.57,-23.26,VALID
2022,Asthma,IL,8.98,15,18.38,-9.4,-51.14,LOW_RECORDS
2015,Cancer,IL,2285.56,144,,,,MISSING_STATES
2016,Cancer,IL,2257.14,144,2285.56,-28.42,-1.24,MISSING_STATES
2020,Cancer,IL,69.0,30,2257.14,-2188.14,-96.94,VALID
2022,Cancer,IL,59.03,18,69.0,-9.97,-14.45,VALID
2019,Cardiovascular Disease,IL,1640.32,182,,,,VALID
2020,Cardiovascular Disease,IL,2651.43,108,1640.32,1011.11,61.64,MISSING_STATES
2021,Cardiovascular Disease,IL,1683.51,174,2651.43,-967.92,-36.51,VALID
2019,Diabetes,IL,510.6,70,,,,VALID
2020,Diabetes,IL,803.37,74,510.6,292.77,57.34,VALID
2021,Diabetes,IL,691.08,74,803.37,-112.29,-13.98,VALID
2022,Diabetes,IL,12.75,17,691.08,-678.33,-98.16,LOW_RECORDS
2019,Asthma,IN,14.47,37,,,,VALID
2020,Asthma,IN,14.05,32,14.47,-0.42,-2.9,VALID
2021,Asthma,IN,14.89,33,14.05,0.84,5.98,VALID
2022,Asthma,IN,12.36,19,14.89,-2.53,-16.99,LOW_RECORDS
2015,Cancer,IN,1273.3,141,,,,MISSING_STATES
2016,Cancer,IN,541.91,117,1273.3,-731.39,-57.44,MISSING_STATES
2020,Cancer,IN,70.23,28,541.91,-471.68,-87.04,VALID
2022,Cancer,IN,58.41,18,70.23,-11.82,-16.83,VALID
2019,Cardiovascular Disease,IN,952.23,173,,,,VALID
2020,Cardiovascular Disease,IN,1540.1,102,952.23,587.87,61.74,MISSING_STATES
2021,Cardiovascular Disease,IN,908.08,181,1540.1,-632.02,-41.04,VALID
2019,Diabetes,IN,456.86,64,,,,VALID
2020,Diabetes,IN,603.33,65,456.86,146.47,32.06,VALID
2021,Diabetes,IN,602.47,66,603.33,-0.86,-0.14,VALID
2022,Diabetes,IN,13.41,18,602.47,-589.06,-97.77,LOW_RECORDS
2019,Asthma,KS,11.38,24,,,,VALID
2020,Asthma,KS,11.73,24,11.38,0.35,3.08,VALID
2021,Asthma,KS,12.82,24,11.73,1.09,9.29,VALID
2022,Asthma,KS,11.48,17,12.82,-1.34,-10.45,LOW_RECORDS
2015,Cancer,KS,587.87,138,,,,MISSING_STATES
2016,Cancer,KS,582.48,138,587.87,-5.39,-0.92,MISSING_STATES
2020,Cancer,KS,68.25,32,582.48,-514.23,-88.28,VALID
2022,Cancer,KS,57.49,20,68.25,-10.76,-15.77,VALID
2019,Cardiovascular Disease,KS,380.27,191,,,,VALID
2020,Cardiovascular Disease,KS,582.66,117,380.27,202.39,53.22,MISSING_STATES
2021,Cardiovascular Disease,KS,368.25,196,582.66,-214.41,-36.8,VALID
2019,Diabetes,KS,181.93,66,,,,VALID
2020,Diabetes,KS,215.9,76,181.93,33.97,18.67,VALID
2021,Diabetes,KS,201.64,76,215.9,-14.26,-6.6,VALID
2022,Diabetes,KS,12.71,21,201.64,-188.93,-93.7,LOW_RECORDS
2019,Asthma,KY,10.25,22,,,,VALID
2020,Asthma,KY,13.52,23,10.25,3.27,31.9,VALID
2021,Asthma,KY,13.1,17,13.52,-0.42,-3.11,VALID
2022,Asthma,KY,11.09,13,13.1,-2.01,-15.34,LOW_RECORDS
2015,Cancer,KY,1090.99,129,,,,MISSING_STATES
2016,Cancer,KY,1105.25,126,1090.99,14.26,1.31,MISSING_STATES
2020,Cancer,KY,75.0,21,1105.25,-1030.25,-93.21,VALID
2022,Cancer,KY,64.8,14,75.0,-10.2,-13.6,VALID
2019,Cardiovascular Disease,KY,847.53,148,,,,VALID
2020,Cardiovascular Disease,KY,1291.3,93,847.53,443.77,52.36,MISSING_STATES
2021,Cardiovascular Disease,KY,808.64,155,1291.3,-482.66,-37.38,VALID
2019,Diabetes,KY,501.59,62,,,,VALID
2020,Diabetes,KY,573.29,64,501.59,71.7,14.29,VALID
2021,Diabetes,KY,668.0,62,573.29,94.71,16.52,VALID
2022,Diabetes,KY,14.8,13,668.0,-653.2,-97.78,LOW_RECORDS
2019,Asthma,LA,9.59,18,,,,VALID
2020,Asthma,LA,10.27,29,9.59,0.68,7.09,VALID
2021,Asthma,LA,10.37,26,10.27,0.1,0.97,VALID
2022,Asthma,LA,10.07,13,10.37,-0.3,-2.89,LOW_RECORDS
2015,Cancer,LA,936.38,141,,,,MISSING_STATES
2016,Cancer,LA,929.35,141,936.38,-7.03,-0.75,MISSING_STATES
2020,Cancer,LA,73.34,24,929.35,-856.01,-92.11,VALID
2022,Cancer,LA,67.08,18,73.34,-6.26,-8.54,VALID
2019,Cardiovascular Disease,LA,711.2,176,,,,VALID
2020,Cardiovascular Disease,LA,1168.75,105,711.2,457.55,64.33,MISSING_STATES
2021,Cardiovascular Disease,LA,773.61,171,1168.75,-395.14,-33.81,VALID
2019,Diabetes,LA,264.41,69,,,,VALID
2020,Diabetes,LA,394.04,69,264.41,129.63,49.03,VALID
2021,Diabetes,LA,404.46,67,394.04,10.42,2.64,VALID
2022,Diabetes,LA,14.29,19,404.46,-390.17,-96.47,LOW_RECORDS
2019,Asthma,MA,14.51,35,,,,VALID
2020,Asthma,MA,15.94,33,14.51,1.43,9.86,VALID
2021,Asthma,MA,14.61,35,15.94,-1.33,-8.34,VALID
2022,Asthma,MA,11.84,17,14.61,-2.77,-18.96,LOW_RECORDS
2015,Cancer,MA,1262.7,144,,,,MISSING_STATES
2016,Cancer,MA,1218.42,147,1262.7,-44.28,-3.51,MISSING_STATES
2020,Cancer,MA,76.35,32,1218.42,-1142.07,-93.73,VALID
2022,Cancer,MA,62.57,20,76.35,-13.78,-18.05,VALID
2019,Cardiovascular Disease,MA,844.46,180,,,,VALID
2020,Cardiovascular Disease,MA,1289.02,105,844.46,444.56,52.64,MISSING_STATES
2021,Cardiovascular Disease,MA,827.69,178,1289.02,-461.33,-35.79,VALID
2019,Diabetes,MA,261.52,69,,,,VALID
2020,Diabetes,MA,347.23,69,261.52,85.71,32.77,VALID
2021,Diabetes,MA,311.66,72,347.23,-35.57,-10.24,VALID
2022,Diabetes,MA,12.09,20,311.66,-299.57,-96.12,LOW_RECORDS
2019,Asthma,MD,13.05,39,,,,VALID
2020,Asthma,MD,13.42,41,13.05,0.37,2.84,VALID
2021,Asthma,MD,13.2,40,13.42,-0.22,-1.64,VALID
2022,Asthma,MD,10.26,19,13.2,-2.94,-22.27,LOW_RECORDS
2015,Cancer,MD,1060.73,147,,,,MISSING_STATES
2016,Cancer,MD,1056.1,147,1060.73,-4.63,-0.44,MISSING_STATES
2020,Cancer,MD,75.22,36,1056.1,-980.88,-92.88,VALID
2022,Cancer,MD,64.8,24,75.22,-10.42,-13.85,VALID
2019,Cardiovascular Disease,MD,721.54,184,,,,VALID
2020,Cardiovascular Disease,MD,1250.12,102,721.54,528.58,73.26,MISSING_STATES
2021,Cardiovascular Disease,MD,698.32,187,1250.12,-551.8,-44.14,VALID
2019,Diabetes,MD,336.85,73,,,,VALID
2020,Diabetes,MD,487.68,73,336.85,150.83,44.78,VALID
2021,Diabetes,MD,520.83,69,487.68,33.15,6.8,VALID
2022,Diabetes,MD,12.98,21,520.83,-507.85,-97.51,LOW_RECORDS
2019,Asthma,ME,15.48,13,,,,VALID
2020,Asthma,ME,11.71,10,15.48,-3.77,-24.35,VALID
2021,Asthma,ME,15.51,16,11.71,3.8,32.45,VALID
2022,Asthma,ME,15.11,17,15.51,-0.4,-2.58,LOW_RECORDS
2015,Cancer,ME,505.68,105,,,,MISSING_STATES
2016,Cancer,ME,504.36,105,505.68,-1.32,-0.26,MISSING_STATES
2020,Cancer,ME,77.0,22,504.36,-427.36,-84.73,VALID
2022,Cancer,ME,68.14,18,77.0,-8.86,-11.51,VALID
2019,Cardiovascular Disease,ME,307.91,123,,,,VALID
2020,Cardiovascular Disease,ME,548.21,62,307.91,240.3,78.04,MISSING_STATES
2021,Cardiovascular Disease,ME,299.72,133,548.21,-248.49,-45.33,VALID
2019,Diabetes,ME,172.47,38,,,,VALID
2020,Diabetes,ME,189.24,39,172.47,16.77,9.72,VALID
2021,Diabetes,ME,189.96,44,189.24,0.72,0.38,VALID
2022,Diabetes,ME,12.16,17,189.96,-177.8,-93.6,LOW_RECORDS
2019,Asthma,MI,17.43,37,,,,VALID
2020,Asthma,MI,20.38,37,17.43,2.95,16.92,VALID
2021,Asthma,MI,15.42,39,20.38,-4.96,-24.34,VALID
2022,Asthma,MI,13.41,17,15.42,-2.01,-13.04,LOW_RECORDS
2015,Cancer,MI,1808.42,150,,,,MISSING_STATES
2016,Cancer,MI,1829.45,147,1808.42,21.03,1.16,MISSING_STATES
2020,Cancer,MI,75.61,28,1829.45,-1753.84,-95.87,VALID
2022,Cancer,MI,58.98,22,75.61,-16.63,-21.99,VALID
2019,Cardiovascular Disease,MI,1465.38,199,,,,VALID
2020,Cardiovascular Disease,MI,2362.3,120,1465.38,896.92,61.21,MISSING_STATES
2021,Cardiovascular Disease,MI,1414.12,202,2362.3,-948.18,-40.14,VALID
2019,Diabetes,MI,489.8,77,,,,VALID
2020,Diabetes,MI,664.43,76,489.8,174.63,35.65,VALID
2021,Diabetes,MI,673.11,78,664.43,8.68,1.31,VALID
2022,Diabetes,MI,11.86,17,673.11,-661.25,-98.24,LOW_RECORDS
2019,Asthma,MN,13.91,38,,,,VALID
2020,Asthma,MN,14.76,36,13.91,0.85,6.11,VALID
2021,Asthma,MN,12.25,34,14.76,-2.51,-17.01,VALID
2022,Asthma,MN,11.61,21,12.25,-0.64,-5.22,LOW_RECORDS
2015,Cancer,MN,995.56,150,,,,MISSING_STATES
2016,Cancer,MN,1012.09,147,995.56,16.53,1.66,MISSING_STATES
2020,Cancer,MN,71.41,41,1012.09,-940.68,-92.94,VALID
2022,Cancer,MN,59.37,22,71.41,-12.04,-16.86,VALID
2019,Cardiovascular Disease,MN,538.17,193,,,,VALID
2020,Cardiovascular Disease,MN,830.05,114,538.17,291.88,54.24,MISSING_STATES
2021,Cardiovascular Disease,MN,502.75,201,830.05,-327.3,-39.43,VALID
2019,Diabetes,MN,370.62,76,,,,VALID
2020,Diabetes,MN,454.27,80,370.62,83.65,22.57,VALID
2021,Diabetes,MN,467.02,78,454.27,12.75,2.81,VALID
2022,Diabetes,MN,11.5,21,467.02,-455.52,-97.54,LOW_RECORDS
2019,Asthma,MO,12.83,32,,,,VALID
2020,Asthma,MO,11.92,32,12.83,-0.91,-7.09,VALID
2021,Asthma,MO,13.56,37,11.92,1.64,13.76,VALID
2022,Asthma,MO,11.73,17,13.56,-1.83,-13.5,LOW_RECORDS
2015,Cancer,MO,1240.2,138,,,,MISSING_STATES
2016,Cancer,MO,1235.42,138,1240.2,-4.78,-0.39,MISSING_STATES
2020,Cancer,MO,70.23,30,1235.42,-1165.19,-94.32,VALID
2022,Cancer,MO,58.86,18,70.23,-11.37,-16.19,VALID
2019,Cardiovascular Disease,MO,931.58,181,,,,VALID
2020,Cardiovascular Disease,MO,1504.59,108,931.58,573.01,61.51,MISSING_STATES
2021,Cardiovascular Disease,MO,891.34,190,1504.59,-613.25,-40.76,VALID
2019,Diabetes,MO,304.78,68,,,,VALID
2020,Diabetes,MO,387.16,71,304.78,82.38,27.03,VALID
2021,Diabetes,MO,367.78,78,387.16,-19.38,-5.01,VALID
2022,Diabetes,MO,12.95,17,367.78,-354.83,-96.48,LOW_RECORDS
2019,Asthma,MS,12.1,29,,,,VALID
2020,Asthma,MS,11.34,31,12.1,-0.76,-6.28,VALID
2021,Asthma,MS,10.31,27,11.34,-1.03,-9.08,VALID
